Date,Open,High,Low,Close,Adj Close,Volume
9/19/2022,149.309998,158.740005,148.559998,150.429993,149.542847,473543200
9/26/2022,149.660004,154.720001,138,138.199997,137.384979,577537000
10/3/2022,138.210007,147.539993,137.690002,140.089996,139.26384,435940600
10/10/2022,140.419998,144.520004,134.369995,138.380005,137.563919,424188400
10/17/2022,141.070007,147.850006,140.270004,147.270004,146.401489,397216400
10/24/2022,147.190002,157.5,144.130005,155.740005,154.821564,512851100
10/31/2022,153.160004,155.449997,134.380005,138.380005,137.563919,510660400
11/7/2022,137.110001,150.009995,134.589996,149.699997,149.064041,461034600
11/14/2022,148.970001,153.589996,146.149994,151.289993,150.647263,382679700
11/21/2022,150.160004,151.830002,146.929993,148.110001,147.480774,204025500
11/28/2022,145.139999,149.130005,140.350006,147.809998,147.182053,401088500
12/5/2022,147.770004,150.919998,140,142.160004,141.556061,341500000
12/12/2022,142.699997,149.970001,133.729996,134.509995,133.938553,505728900
12/19/2022,135.110001,136.809998,129.639999,131.860001,131.29982,384620400
12/26/2022,131.380005,131.410004,125.870003,129.929993,129.378006,307184100
1/2/2023,130.279999,130.899994,124.169998,129.619995,129.069321,369948500
1/9/2023,130.470001,134.919998,128.119995,134.759995,134.187485,333335200
1/16/2023,134.830002,138.610001,133.770004,137.869995,137.284271,271823400
1/23/2023,138.119995,147.229996,137.899994,145.929993,145.310043,338655600
1/30/2023,144.960007,157.380005,141.320007,154.5,153.843628,480249700
2/6/2023,152.570007,155.229996,149.220001,151.009995,150.368454,330758800
2/13/2023,150.949997,156.330002,150.850006,152.550003,152.13385,316792400
2/20/2023,150.199997,151.300003,145.720001,146.710007,146.309784,213742300
2/27/2023,147.710007,151.110001,143.899994,151.029999,150.617996,273994900
3/6/2023,153.789993,156.300003,147.610001,148.5,148.094894,313350800
3/13/2023,147.809998,156.740005,147.699997,155,154.577164,410426600
3/20/2023,155.070007,162.139999,154.149994,160.25,159.812836,350100100
3/27/2023,159.940002,165,155.979996,164.899994,164.45015,267939700
4/3/2023,164.270004,166.839996,161.800003,164.660004,164.210831,200156300
4/10/2023,161.419998,166.320007,159.779999,165.210007,164.759323,263326300
4/17/2023,165.089996,168.160004,164.029999,165.020004,164.569839,249953100
4/24/2023,165,169.850006,162.800003,169.679993,169.217117,256274000
5/1/2023,169.279999,174.300003,164.309998,173.570007,173.096512,360586400
5/8/2023,172.479996,174.589996,171,172.570007,172.099228,250026700
5/15/2023,173.160004,176.389999,170.419998,175.160004,174.923798,258597700
5/22/2023,173.979996,175.770004,170.520004,175.429993,175.19342,250355000
5/29/2023,176.960007,181.779999,176.570007,180.949997,180.705978,286437400
6/5/2023,182.630005,184.949997,177.320007,180.960007,180.715973,347825100
6/12/2023,181.270004,186.990005,180.970001,184.919998,184.670624,333335700
6/19/2023,184.410004,187.559998,182.589996,186.679993,186.428238,203639400
6/26/2023,186.830002,194.479996,185.229996,193.970001,193.70842,281453200
7/3/2023,193.779999,193.880005,189.199997,190.679993,190.422852,170250800
7/10/2023,189.259995,191.699997,186.600006,190.690002,190.432846,250226700
7/17/2023,191.899994,198.229996,191.229996,191.940002,191.681168,310880300
7/24/2023,193.410004,197.199997,192.25,195.830002,195.565918,225884500
7/31/2023,196.059998,196.729996,181.919998,181.990005,181.744583,301423400
8/7/2023,182.130005,183.130005,176.550003,177.789993,177.550232,332452600
8/14/2023,177.970001,179.690002,171.960007,174.490005,174.490005,261440200
8/21/2023,175.070007,181.550003,173.740005,178.610001,178.610001,247514300
8/28/2023,180.089996,189.919998,178.550003,189.460007,189.460007,264165600
9/4/2023,188.279999,189.979996,173.539993,178.179993,178.179993,305075900
9/11/2023,180.070007,180.300003,173.580002,175.009995,175.009995,403692100
9/18/2023,null,null,null,null,null,null
